Id,Bucket,Key,Size
0,k9-filestore/k9-feed-doc-lims/,,0
1,k9-filestore/k9-feed-doc-lims/,20176817_TRF_1.pdf,1717505
2,k9-filestore/k9-feed-doc-lims/,20184778_TRF_1.pdf,1555048
3,k9-filestore/k9-feed-doc-lims/,20191766_TRF_1.pdf,1273816
4,k9-filestore/k9-feed-doc-lims/,20192736_TRF_1.pdf,362744
5,k9-filestore/k9-feed-doc-lims/,20199175_TRF_1.pdf,1928223
6,k9-filestore/k9-feed-doc-lims/,20201545_TRF_1.pdf,1037109
7,k9-filestore/k9-feed-doc-lims/,20218313_TRF_1.pdf,1808360
8,k9-filestore/k9-feed-doc-lims/,20226350_TRF_1.pdf,1416322
9,k9-filestore/k9-feed-doc-lims/,20227525_TRF_1.pdf,1649949
10,k9-filestore/k9-feed-doc-lims/,20242438_TRF_1.pdf,321849
11,k9-filestore/k9-feed-doc-lims/,20246203_TRF_1.pdf,1777159
12,k9-filestore/k9-feed-doc-lims/,20254068_TRF_1.pdf,1116718
13,k9-filestore/k9-feed-doc-lims/,20263789_TRF_1.pdf,653394
14,k9-filestore/k9-feed-doc-lims/,20268880_TRF_1.pdf,1428032
15,k9-filestore/k9-feed-doc-lims/,20298024_TRF_1.pdf,1637865
16,k9-filestore/k9-feed-doc-lims/,20339571_TRF_1.pdf,2238079
17,k9-filestore/k9-feed-doc-lims/,20340218_TRF_1.pdf,541757
18,k9-filestore/k9-feed-doc-lims/,20354083_TRF_1.pdf,1407064
19,k9-filestore/k9-feed-doc-lims/,20442020_TRF_1.pdf,1199801
20,k9-filestore/k9-feed-doc-lims/,20514610_TRF_1.pdf,1613963
21,k9-filestore/k9-feed-doc-lims/,20525270_TRF_1.pdf,2075514
22,k9-filestore/k9-feed-doc-lims/,20596563_TRF_1.pdf,445119
23,k9-filestore/k9-feed-doc-lims/,2080054_A010726101_IUO_22May2018.pdf,151302
24,k9-filestore/k9-feed-doc-lims/,250306_A0225823.pdf,34621
25,k9-filestore/k9-feed-doc-lims/,7A0272882_TRF_1.pdf,1696442
26,k9-filestore/k9-feed-doc-lims/,8100037_A012393701_IUO_02Oct2018.pdf,17102
27,k9-filestore/k9-feed-doc-lims/,520001_A0130646_IUO_20NOV2018.pdf,17860
28,k9-filestore/k9-feed-doc-lims/,A00169498 PABF.pdf,68941
29,k9-filestore/k9-feed-doc-lims/,A00274260_PABF.pdf,513735
30,k9-filestore/k9-feed-doc-lims/,A010004601.FINAL_v1_report.pdf,516357
31,k9-filestore/k9-feed-doc-lims/,A0100046_TRF_1.pdf,1135503
32,k9-filestore/k9-feed-doc-lims/,A010004801.FINAL_v1_report.pdf,67796
33,k9-filestore/k9-feed-doc-lims/,A0100048_TRF_1.pdf,594863
34,k9-filestore/k9-feed-doc-lims/,A010004901.FINAL_v1_report.pdf,161726
35,k9-filestore/k9-feed-doc-lims/,A0100049_TRF_1.pdf,1344869
36,k9-filestore/k9-feed-doc-lims/,A010005601.FINAL_v1_report.pdf,113731
37,k9-filestore/k9-feed-doc-lims/,A0100056_TRF_1.pdf,1028461
38,k9-filestore/k9-feed-doc-lims/,A010005801.FINAL_v1_report.pdf,268769
39,k9-filestore/k9-feed-doc-lims/,A0100058_TRF_1.pdf,1583300
40,k9-filestore/k9-feed-doc-lims/,A010006001.FINAL_v1_report.pdf,67696
41,k9-filestore/k9-feed-doc-lims/,A0100060_TRF_1.pdf,1650552
42,k9-filestore/k9-feed-doc-lims/,A010006201.FINAL_v1_report.pdf,68893
43,k9-filestore/k9-feed-doc-lims/,A0100062_TRF_1.pdf,3499406
44,k9-filestore/k9-feed-doc-lims/,A010006301.FINAL_v1_report.pdf,122365
45,k9-filestore/k9-feed-doc-lims/,A0100063_TRF_1.pdf,1208104
46,k9-filestore/k9-feed-doc-lims/,A010006401.FINAL_v1_report.pdf,257104
47,k9-filestore/k9-feed-doc-lims/,A0100064_TRF_1.pdf,1119843
